title,total_sales,critic_score,popularity
Banjo-Kazooie: Nuts & Bolts,0.76,8.0,Muy popular
Banjo-Pilot,0.1,6.2,Menos popular
Barbie Groovy Games,0.56,3.0,Menos popular
Barbie as The Island Princess,0.23,5.5,Menos popular
Barbie as the Princess and the Pauper,0.02,6.0,Menos popular
Barnyard,0.05,5.6,Menos popular
Baroque,0.08,5.2,Menos popular
Baseball Advance,0.13,8.3,Menos popular
Bass Hunter 64,0.31,6.0,Menos popular
Baten Kaitos Origins,0.1,7.5,Menos popular
Baten Kaitos: Eternal Wings and the Lost Ocean,0.27,8.2,Moderadamente popular
Batman & Robin,0.11,5.4,Menos popular
Batman Begins,0.17,6.3,Menos popular
Batman Beyond: Return of the Joker,0.09,2.0,Menos popular
Batman Forever: The Arcade Game,0.03,5.2,Menos popular
Batman: Arkham Asylum,7.82,9.05,Muy popular
Batman: Arkham City,10.29,9.55,Muy popular
Batman: Arkham City Armored Edition,0.37,8.6,Moderadamente popular
Batman: Arkham Knight,4.11,8.1,Muy popular
Batman: Arkham Origins Blackgate,0.27,7.0,Moderadamente popular
Batman: Dark Tomorrow,0.08,2.3,Menos popular
Batman: Rise of Sin Tzu,0.07,5.5,Menos popular
Batman: The Brave and the Bold the Videogame,0.5800000000000001,7.5,Moderadamente popular
Batman: Vengeance,0.99,6.766666666666667,Moderadamente popular
Battalion Wars 2,0.34,7.7,Moderadamente popular
Battle B-Daman,0.01,6.0,Menos popular
Battle Chasers: Nightwar,0.05,8.5,Menos popular
Battle Fantasia,0.09999999999999999,7.0,Menos popular
BattleBots: Beyond the BattleBox,0.06,5.8,Menos popular
Battlebots: Design & Destroy,0.44,4.0,Menos popular
Battlefield 1,13.16,9.166666666666666,Muy popular
Battlefield 2: Modern Combat,1.4100000000000001,7.633333333333333,Moderadamente popular
Battlefield 3,17.32,8.633333333333333,Muy popular
Battlefield 4,11.120000000000001,8.566666666666666,Muy popular
Battlefield: Bad Company,2.8,8.6,Muy popular
Battlefield: Bad Company 2,7.16,8.9,Muy popular
Battles of Prince of Persia,0.12,5.6,Menos popular
Battlestations: Midway,0.01,7.7,Menos popular
Battlezone: Rise of the Black Dogs,0.07,7.3,Menos popular
Bayonetta,2.14,8.75,Muy popular
Beach Spikers: Virtua Beach Volleyball,0.1,7.1,Menos popular
Beaterator,0.11,7.9,Menos popular
Beautiful Katamari,0.32,7.3,Moderadamente popular
Bee Movie Game,0.62,6.4,Menos popular
Beetle Adventure Racing!,0.62,9.2,Muy popular
Ben 10: Alien Force,0.6,5.2,Menos popular
Beowulf: The Game,0.4,4.9,Menos popular
BeyBlade VForce: Super Tournament Battle,0.21,2.5,Menos popular
Beyblade G-Revolution,0.2,2.4,Menos popular
Beyond Good & Evil,0.33,8.3,Moderadamente popular
Beyond The Beyond,0.57,4.8,Menos popular
Big Bang Mini,0.06,8.0,Menos popular
Big Bumpin',0.0,6.7,Menos popular
Big Mutha Truckers,0.04,5.0,Menos popular
Billy Hatcher and the Giant Egg,0.25,7.3,Moderadamente popular
Bio FREAKS,0.14,6.2,Menos popular
BioShock,4.27,9.45,Muy popular
BioShock 2,3.75,8.55,Muy popular
BioShock Infinite,1.82,9.5,Muy popular
Bionicle,0.21,4.8,Menos popular
Bionicle Heroes,0.28,5.88,Menos popular
Black,1.25,7.7,Moderadamente popular
Black Sigil: Blade of the Exiled,0.05,6.0,Menos popular
Blacksite: Area 51,0.57,6.3,Menos popular
Blackthorne,0.01,7.1,Menos popular
Blade Strangers,0.04,8.3,Menos popular
Bladestorm: The Hundred Years' War,0.37,6.35,Menos popular
Blast Corps,0.71,9.1,Muy popular
Blast Radius,0.07,6.6,Menos popular
"Blast Works: Build, Trade, Destroy",0.1,8.2,Menos popular
Blaster Master: Blasting Again,0.25,7.7,Moderadamente popular
Blasto,0.35,4.6,Menos popular
BlazBlue: Calamity Trigger,0.9299999999999999,8.5,Muy popular
BlazBlue: Calamity Trigger Portable,0.11,7.9,Menos popular
BlazBlue: Continuum Shift,0.73,8.649999999999999,Muy popular
BlazBlue: Continuum Shift II,0.24,6.75,Moderadamente popular
BlazBlue: Cross Tag Battle,0.07,8.0,Menos popular
Blazing Angels 2: Secret Missions of WWII,0.29000000000000004,7.4,Moderadamente popular
Blazing Angels: Squadrons of WWII,2.04,6.36,Menos popular
Blazing Dragons,0.15,6.6,Menos popular
Bleach: Shattered Blade,0.32,5.3,Menos popular
Bleach: Soul Resurreccion,0.51,6.7,Moderadamente popular
Bleach: The Blade of Fate,0.45,8.2,Moderadamente popular
Blender Bros.,0.02,7.4,Menos popular
Blinx 2: Masters of Time & Space,0.15,6.8,Menos popular
Blinx: The Time Sweeper,0.56,6.8,Moderadamente popular
Blitz: The League,1.58,7.3999999999999995,Moderadamente popular
Blitz: The League II,0.25,6.449999999999999,Menos popular
Blood Bowl,0.24000000000000002,5.966666666666666,Menos popular
Blood Omen: Legacy of Kain,0.44,7.8,Moderadamente popular
BloodRayne,0.32,7.6,Moderadamente popular
Bloody Roar,0.39,8.6,Moderadamente popular
Bloody Roar II,0.46,8.2,Moderadamente popular
Bloody Roar: Primal Fury,0.18,7.9,Moderadamente popular
BlowOut,0.01,6.5,Menos popular
Blue Dragon,0.92,7.7,Moderadamente popular
Blue Dragon Plus,0.21,6.5,Menos popular
Blue Dragon: Awakened Shadow,0.1,5.7,Menos popular
Blue Stinger,0.1,6.7,Menos popular
Blues Brothers 2000,0.05,4.9,Menos popular
Blur,1.3699999999999999,8.233333333333334,Muy popular
Body and Brain Connection,0.2,6.0,Menos popular
Bodycount,0.22,4.85,Menos popular
Boktai 2: Solar Boy Django,0.04,7.9,Menos popular
Boktai: The Sun is in Your Hand,0.15,7.8,Menos popular
Bomberman,0.15,7.3,Menos popular
Bomberman 64,1.04,6.1,Menos popular
Bomberman Fantasy Race,0.02,6.3,Menos popular
Bomberman Generation,0.25,8.4,Moderadamente popular
Bomberman Jetters,0.08,7.2,Menos popular
Bomberman Land,0.23,6.25,Menos popular
Bomberman Max 2: Blue Advance,0.09,7.3,Menos popular
Bomberman Max 2: Red Advance,0.07,7.5,Menos popular
Bomberman Party Edition,0.12,7.9,Menos popular
Bomberman Tournament,0.25,8.8,Moderadamente popular
Bomberman World,0.33,6.5,Menos popular
Bomberman: Act Zero,0.04,3.5,Menos popular
Book of Spells,0.66,6.5,Menos popular
Bookworm,0.03,6.0,Menos popular
Boom Blox Bash Party,0.46,8.8,Moderadamente popular
BoomBots,0.11,4.5,Menos popular
Borderlands,5.7700000000000005,8.266666666666667,Muy popular
Bottom of the 9th,0.14,8.0,Menos popular
Bottom of the 9th '97,0.02,6.0,Menos popular
Bottom of the 9th '99,0.05,5.0,Menos popular
Boulder Dash EX,0.0,7.7,Menos popular
Boxing,0.07,5.9,Menos popular
Boxing Fever,0.08,7.2,Menos popular
Brain Age: Concentration Training,0.36,7.5,Moderadamente popular
Brave Fencer Musashi,1.14,8.4,Muy popular
Brave Story: New Traveler (US sales),0.11,7.5,Menos popular
Brave: A Warrior's Tale,0.12,4.550000000000001,Menos popular
Bravo Air Race,0.14,5.3,Menos popular
Breach,0.01,6.5,Menos popular
Breakout,0.11,4.9,Menos popular
Breath of Fire,0.22,7.8,Moderadamente popular
Breath of Fire II,0.55,8.45,Moderadamente popular
Breath of Fire III,1.04,6.8,Moderadamente popular
Breath of Fire IV,0.56,8.4,Moderadamente popular
Breath of Fire: Dragon Quarter,0.19,7.6,Moderadamente popular
Brian Lara International Cricket 2007,0.01,7.3,Menos popular
Brink,1.95,6.966666666666666,Moderadamente popular
Britney's Dance Beat,0.22,6.3,Menos popular
Broken Sword II: The Smoking Mirror,0.06,7.3,Menos popular
Broken Sword: Shadow of the Templars - The Director's Cut,0.24,7.5,Moderadamente popular
Broken Sword: The Shadow of the Templars,0.06,8.1,Menos popular
Brothers In Arms: D-Day,0.46,6.8,Moderadamente popular
Brothers In Arms: Hell's Highway,1.81,6.8,Moderadamente popular
Brothers in Arms: Double Time,0.13,4.6,Menos popular
Brothers in Arms: Hell's Highway,0.02,6.0,Menos popular
Bruce Lee: Return of the Legend,0.01,8.4,Menos popular
Brunswick Circuit Pro Bowling,0.18,8.2,Moderadamente popular
Brunswick Circuit Pro Bowling 2,0.11,7.0,Menos popular
Brunswick Pro Bowling,0.21,6.5,Menos popular
Brutal Legend,1.91,8.2,Muy popular
Bubble Bobble: Old & New,0.06,5.5,Menos popular
Bubsy 3D,0.19,5.8,Menos popular
Buck Bumble,0.16,6.8,Moderadamente popular
Buffy the Vampire Slayer: Wrath of the Darkhul King,0.03,4.6,Menos popular
Bugriders: The Race of Kings,0.02,3.0,Menos popular
Bugs Bunny & Taz: Time Busters,0.21,8.0,Moderadamente popular
Bugs Bunny: Lost in Time,0.4,7.0,Moderadamente popular
Bullet Witch,0.1,6.6,Menos popular
Bulletstorm,1.72,8.533333333333333,Muy popular
Bully: Scholarship Edition,1.62,7.7,Moderadamente popular
Burning Road,0.12,6.0,Menos popular
Burnout,0.3,7.7,Moderadamente popular
Burnout 3: Takedown,3.99,9.3,Muy popular
Burnout Dominator,0.45,7.8,Moderadamente popular
Burnout Legends,1.03,6.1,Menos popular
Burnout Paradise,3.3,8.95,Muy popular
Burnout Paradise Remastered,0.48,8.0,Moderadamente popular
Burnout Paradise: The Ultimate Box,0.07,9.0,Menos popular
Burnout Revenge,1.4,8.9,Muy popular
Bushido Blade,1.16,8.2,Muy popular
Bushido Blade 2,0.68,7.5,Moderadamente popular
Bust A Groove,0.54,7.7,Moderadamente popular
Bust A Groove 2,0.26,7.0,Moderadamente popular
Bust-A-Move '99,0.32,7.7,Moderadamente popular
Bust-A-Move 2 Arcade Edition,0.2,6.9,Moderadamente popular
Bust-A-Move 4,0.22,7.8,Moderadamente popular
Bust-A-Move Deluxe,0.14,7.1,Menos popular
Bust-A-Move Universe,0.31,5.6,Menos popular
Buster Bros. Collection,0.07,6.9,Menos popular
Butt Ugly Martians: B.K.M. Battles,0.25,6.0,Menos popular
Buzz! Brain Bender,0.0,6.5,Menos popular
Buzz! Master Quiz,0.9,7.0,Moderadamente popular
Buzz! Quiz TV,0.88,7.9,Muy popular
Buzz! Quiz World,0.01,5.9,Menos popular
C.O.P.: The Recruit,0.08,5.7,Menos popular
C.O.R.E.,0.04,4.4,Menos popular
C: The Contra Adventure,0.07,4.2,Menos popular
CIMA: The Enemy,0.03,6.8,Menos popular
CT Special Forces,0.03,5.9,Menos popular
CT Special Forces 2: Back in the Trenches,0.01,7.4,Menos popular
Cabela's Big Game Hunter 2010,1.7,5.5,Menos popular
Cabela's Dangerous Hunts 2,0.03,6.5,Menos popular
Call of Duty,0.01,7.0,Menos popular
Call of Duty 2,2.12,7.9,Muy popular
Call of Duty 2: Big Red One,3.0,8.0,Muy popular
Call of Duty 3,7.5200000000000005,7.675,Moderadamente popular
Call of Duty 4: Modern Warfare,18.33,8.925,Muy popular
Call of Duty Black Ops: Declassified,1.71,3.2,Menos popular
Call of Duty: Advanced Warfare,21.78,8.72,Muy popular
Call of Duty: Black Ops,30.990000000000002,8.1,Muy popular
Call of Duty: Black Ops 3,15.09,8.1,Muy popular
Call of Duty: Black Ops II,28.080000000000002,8.333333333333334,Muy popular
Call of Duty: Finest Hour,0.4,7.7,Moderadamente popular
Call of Duty: Ghosts,28.8,7.833333333333333,Muy popular
Call of Duty: Infinite Warfare,8.48,7.9,Muy popular
Call of Duty: Modern Warfare 2,25.02,9.333333333333334,Muy popular
Call of Duty: Modern Warfare 3,30.71,7.5,Moderadamente popular
Call of Duty: Modern Warfare Remastered,0.82,8.05,Muy popular
Call of Duty: Modern Warfare: Mobilized,0.41,7.6,Moderadamente popular
Call of Duty: Modern Warfare: Reflex Edition,1.51,7.2,Moderadamente popular
Call of Duty: Roads to Victory,2.14,6.1,Menos popular
Call of Duty: WWII,13.4,8.1,Muy popular
Call of Duty: World at War,15.94,8.2,Muy popular
Call of Duty: World at War Final Fronts,1.72,6.8,Moderadamente popular
Call of Juarez,0.19,6.800000000000001,Moderadamente popular
Call of Juarez: Bound in Blood,1.48,7.65,Moderadamente popular
Call of Juarez: The Cartel,0.6799999999999999,5.033333333333334,Menos popular
Calling,0.11,4.8,Menos popular
Capcom Classics Collection Reloaded,0.33,7.1,Moderadamente popular
Capcom Classics Collection Remixed,0.3,7.7,Moderadamente popular
Capcom Classics Mini Mix,0.0,6.5,Menos popular
Capcom Puzzle World,0.01,7.4,Menos popular
Capcom vs. SNK,0.22,8.8,Moderadamente popular
Capcom vs. SNK 2: Mark of the Millennium 2001,0.75,7.9,Muy popular
Capcom vs. SNK: Millennium Fight 2000 Pro,0.05,6.9,Menos popular
Captain America: Super Soldier,0.51,5.775,Menos popular
Captain Rainbow,0.01,7.0,Menos popular
Captain Toad: Treasure Tracker,0.19,8.5,Moderadamente popular
Car Battler Joe,0.02,7.9,Menos popular
Cardinal Syn,0.15,5.2,Menos popular
Carmageddon 64,0.01,1.3,Menos popular
Carnage Heart,0.11,7.1,Menos popular
Carnival Games,4.06,4.2,Menos popular
Carol Vorderman's Sudoku,0.36000000000000004,7.4,Moderadamente popular
Cars,3.52,6.625,Moderadamente popular
Cars 2,3.15,7.375,Moderadamente popular
Cart World Series,0.3,7.0,Moderadamente popular
Cartoon Network Block Party,0.05,4.0,Menos popular
Cartoon Network: Battle Crashers,0.12,2.5,Menos popular
Cartoon Network: Punch Time Explosion,0.1,5.6,Menos popular
Casper,0.83,4.9,Menos popular
Castle of Shikigami III,0.04,7.2,Menos popular
Castlevania,0.64,7.6,Moderadamente popular
Castlevania Chronicles,0.13,7.2,Menos popular
Castlevania Double Pack,0.1,9.0,Menos popular
Castlevania Judgment,0.16,4.6,Menos popular
Castlevania: Aria of Sorrow,0.28,8.8,Moderadamente popular
Castlevania: Curse of Darkness,0.54,7.2,Moderadamente popular
Castlevania: Dawn of Sorrow,0.43,8.9,Moderadamente popular
Castlevania: Harmony of Dissonance,0.26,8.6,Moderadamente popular
Castlevania: Lament of Innocence,0.94,8.1,Muy popular
Castlevania: Lords of Shadow,1.77,8.0,Muy popular
Castlevania: Lords of Shadow - Mirror of Fate,0.16,7.2,Moderadamente popular
Castlevania: Lords of Shadow - Reverie,0.03,7.0,Menos popular
Castlevania: Order of Ecclesia,0.37,8.2,Moderadamente popular
Castlevania: Portrait of Ruin,0.4,8.5,Moderadamente popular
Castlevania: Symphony of the Night,1.27,9.3,Muy popular
Castlevania: The Dracula X Chronicles,0.42,8.0,Moderadamente popular
Castrol Honda Superbike Racing,0.13,3.9,Menos popular
Catherine,1.02,7.9,Muy popular
Catwoman,0.34,5.175,Menos popular
Cave Story 3D,0.15,8.2,Menos popular
Cel Damage,0.18,5.85,Menos popular
Centipede,0.65,5.9,Menos popular
Centipede / Breakout / Warlords,0.07,5.6,Menos popular
Ceville,0.02,9.0,Menos popular
Champions of Norrath,1.28,8.5,Muy popular
Champions: Return to Arms,0.65,7.7,Moderadamente popular
Championship Bass,0.32,7.1,Moderadamente popular
Championship Manager 2006,0.0,7.8,Menos popular
Championship Motocross 2001 featuring Ricky Carmichael,0.14,6.8,Menos popular
Championship Motocross featuring Ricky Carmichael,0.58,7.5,Moderadamente popular
Championship Surfer,0.06,7.2,Menos popular
